Journal-name	ISSN	eISSN	category	2021-JIF	JIF-Quartile	2021-JCI
FILOZOFIA	0046-385X	2585-7061	PHILOSOPHY - AHCI	N/A	N/A	0.51
Junctures-The Journal for Thematic Dialogue	1176-5119	1179-8912	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	1.05
ZEITGESCHICHTE	0256-5250	N/A	HISTORY - AHCI	N/A	N/A	0.54
Law and History Review	0738-2480	1939-9022	HISTORY - AHCI	N/A	N/A	1.70
European Review of History-Revue Europeenne d Histoire	1350-7486	1469-8293	HISTORY - AHCI	N/A	N/A	1.25
CATHOLIC BIBLICAL QUARTERLY	0008-7912	2163-2529	RELIGION - AHCI	N/A	N/A	0.70
AMERICAN JOURNAL OF ARCHAEOLOGY	0002-9114	1939-828X	ARCHAEOLOGY - AHCI	N/A	N/A	0.78
ELT Journal	0951-0893	1477-4526	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	1.92
ARCHIVES OF NATURAL HISTORY	0260-9541	1755-6260	HISTORY & PHILOSOPHY OF SCIENCE - AHCI	N/A	N/A	0.18
JOURNAL OF SOUTHEAST ASIAN STUDIES	0022-4634	1474-0680	ASIAN STUDIES - AHCI	N/A	N/A	0.94
Ambix	0002-6980	1745-8234	HISTORY & PHILOSOPHY OF SCIENCE - AHCI	N/A	N/A	0.54
Interiors-Design Architecture Culture	2041-9112	2041-9120	ARCHITECTURE - AHCI	N/A	N/A	0.08
Islamic Law and Society	0928-9380	1568-5195	RELIGION - AHCI	N/A	N/A	1.37
Arheoloski Vestnik	0570-8966	0570-8966	ARCHAEOLOGY - AHCI	N/A	N/A	0.33
HISTORISCHES JAHRBUCH	0018-2621	N/A	HISTORY - AHCI	N/A	N/A	0.13
Logique et Analyse	0024-5836	2295-5836	PHILOSOPHY - AHCI	N/A	N/A	0.58
ZEITSCHRIFT FUR EVANGELISCHE ETHIK	0044-2674	2197-912X	RELIGION - AHCI	N/A	N/A	0.24
Gesnerus-Swiss Journal of the History of Medicine and Sciences	0016-9161	N/A	HISTORY & PHILOSOPHY OF SCIENCE - AHCI	N/A	N/A	0.10
ZEITSCHRIFT FUR SEMIOTIK	0170-6241	N/A	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	0.11
HISTORY OF PHOTOGRAPHY	0308-7298	2150-7295	ART - AHCI	N/A	N/A	0.54
Antiquaries Journal	0003-5815	1758-5309	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	0.51
DEUTSCHE ZEITSCHRIFT FUR PHILOSOPHIE	0012-1045	2192-1482	PHILOSOPHY - AHCI	N/A	N/A	0.33
Religion and the Arts	1079-9265	1568-5292	RELIGION - AHCI	N/A	N/A	0.12
BOLETIN DE LA REAL ACADEMIA ESPANOLA	0210-4822	2445-0898	LITERATURE, ROMANCE - AHCI	N/A	N/A	1.62
Shaw-The Journal of Bernard Shaw Studies	0741-5842	1529-1480	LITERATURE, BRITISH ISLES - AHCI$THEATER - AHCI	N/A	N/A	2.27
Translation Studies	1478-1700	1751-2921	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	0.80
Christian Bioethics	1380-3603	1744-4195	PHILOSOPHY - AHCI$RELIGION - AHCI	N/A	N/A	1.25
Korean Journal of Medical History	1225-505X	N/A	ASIAN STUDIES - AHCI$HISTORY & PHILOSOPHY OF SCIENCE - AHCI	N/A	N/A	0.31
HYLE	1433-5158	1617-4240	HISTORY & PHILOSOPHY OF SCIENCE - AHCI	N/A	N/A	0.16
Rural History-Economy Society Culture	0956-7933	1474-0656	HISTORY - AHCI	N/A	N/A	1.86
Language Learning and Development	1547-5441	1547-3341	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	0.84
German History	0266-3554	1477-089X	HISTORY - AHCI	N/A	N/A	0.84
ESPRIT CREATEUR	0014-0767	1931-0234	LITERATURE, ROMANCE - AHCI	N/A	N/A	0.94
Getty Research Journal	1944-8740	2329-1249	ART - AHCI	N/A	N/A	0.42
EIGHTEENTH-CENTURY LIFE	0098-2601	1086-3192	LITERATURE - AHCI	N/A	N/A	0.56
European Journal of Archaeology	1461-9571	1741-2722	ARCHAEOLOGY - AHCI	N/A	N/A	1.77
Trans-Form-Acao	0101-3173	1980-539X	PHILOSOPHY - AHCI	N/A	N/A	0.35
Afterall	1465-4253	2156-4914	ART - AHCI	N/A	N/A	0.24
ISIS	0021-1753	1545-6994	HISTORY & PHILOSOPHY OF SCIENCE - AHCI	N/A	N/A	0.42
Scandinavian Journal of the Old Testament	0901-8328	1502-7244	RELIGION - AHCI	N/A	N/A	0.34
GIORNALE CRITICO DELLA FILOSOFIA ITALIANA	0017-0089	N/A	PHILOSOPHY - AHCI	N/A	N/A	0.01
BULLETIN OF THE COUNCIL FOR RESEARCH IN MUSIC EDUCATION	0010-9894	2162-7223	MUSIC - AHCI	N/A	N/A	1.86
SOCIOLOGY OF RELIGION	1069-4404	1759-8818	RELIGION - AHCI	N/A	N/A	4.44
Thought-A Journal of Philosophy	2161-2234	2161-2234	PHILOSOPHY - AHCI	N/A	N/A	0.91
Journal for the Study of Judaism	0047-2212	1570-0631	HISTORY - AHCI$RELIGION - AHCI	N/A	N/A	0.85
Law & Literature	1535-685X	1541-2601	LITERATURE - AHCI	N/A	N/A	1.27
MICHIGAN HISTORICAL REVIEW	0360-1846	N/A	HISTORY - AHCI	N/A	N/A	0.18
ISLAM-ZEITSCHRIFT FUR GESCHICHTE UND KULTUR DES ISLAMISCHEN ORIENTS	0021-1818	1613-0928	ASIAN STUDIES - AHCI$RELIGION - AHCI	N/A	N/A	0.60
ROMANCE QUARTERLY	0883-1157	1940-3216	LITERATURE, ROMANCE - AHCI	N/A	N/A	0.96
Multilingua-Journal of Cross-Cultural and Interlanguage Communication	0167-8507	1613-3684	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	1.68
