Journal-name	ISSN	eISSN	category	2021-JIF	JIF-Quartile	2021-JCI
Management Accounting Research	1044-5005	1096-1224	BUSINESS, FINANCE - SSCI$MANAGEMENT - SSCI	4.344	Q1	1.04
Psychology Health & Medicine	1354-8506	1465-3966	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI	3.898	Q2	0.98
REVIEW OF FINANCIAL STUDIES	0893-9454	1465-7368	BUSINESS, FINANCE - SSCI$ECONOMICS - SSCI	8.414	Q1	2.67
Cambridge Journal of Education	0305-764X	1469-3577	EDUCATION & EDUCATIONAL RESEARCH - SSCI	2.545	Q2	1.31
Social Anthropology	0964-0282	1469-8676	ANTHROPOLOGY - SSCI	2.045	Q2	0.78
Distance Education	0158-7919	1475-0198	EDUCATION & EDUCATIONAL RESEARCH - SSCI	5.500	Q1	2.33
Technological and Economic Development of Economy	2029-4913	2029-4921	ECONOMICS - SSCI	5.656	Q1	1.79
ACADEMIC PSYCHIATRY	1042-9670	1545-7230	EDUCATION & EDUCATIONAL RESEARCH - SSCI$PSYCHIATRY - SSCI	2.385	Q3	0.86
Journal of Knowledge Management	1367-3270	1758-7484	INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI$MANAGEMENT - SSCI	8.689	Q1	2.33
Review of International Economics	0965-7576	1467-9396	ECONOMICS - SSCI	1.234	Q4	0.40
ECONOMIC GEOGRAPHY	0013-0095	1944-8287	ECONOMICS - SSCI$GEOGRAPHY - SSCI	14.921	Q1	2.37
SOCIOLOGIA RURALIS	0038-0199	1467-9523	GEOGRAPHY - SSCI$SOCIOLOGY - SSCI	3.567	Q1	1.34
BULLETIN OF THE ATOMIC SCIENTISTS	0096-3402	1938-3282	INTERNATIONAL RELATIONS - SSCI$SOCIAL ISSUES - SSCI	2.204	Q2	0.61
European Early Childhood Education Research Journal	1350-293X	1752-1807	EDUCATION & EDUCATIONAL RESEARCH - SSCI	1.752	Q3	0.83
Psicologia-Reflexao e Critica	0102-7972	1678-7153	PSYCHOLOGY, MULTIDISCIPLINARY - SSCI	1.700	Q3	0.48
EKONOMICKY CASOPIS	0013-3035	0013-3035	ECONOMICS - SSCI	0.544	Q4	0.24
